Date,Gated_Station_Entries,Day_of_Week,Season,Pressure,Wind_Speed,Average_Temperature,Precipitation,Is_Monday,Is_Tuesday,Is_Wednesday,Is_Thursday,Is_Friday,Is_Saturday,Is_Sunday,Is_Winter,Is_Spring,Is_Summer,Is_Autumn,S_Day_of_Week,S_Season,S_Pressure,S_Wind_Speed,S_Average_Temperature,S_Precipitation,S_Is_Monday,S_Is_Tuesday,S_Is_Wednesday,S_Is_Thursday,S_Is_Friday,S_Is_Saturday,S_Is_Sunday,S_Is_Winter,S_Is_Spring,S_Is_Summer,S_Is_Autumn
2017-03-24,502539.0,4,1,1026.9,16.9,1.7,0.8,False,False,False,False,True,False,False,False,True,False,False,0.49965977713680454,-0.44249895036496745,1.3459323022218126,-0.120030432532418,-1.0110124047685993,-0.2918811440566813,-0.40832931622440355,-0.4077619909577661,-0.40832931622440355,-0.40832931622440355,2.449003684688744,-0.40832931622440355,-0.40832931622440355,-0.5795766480018764,1.7300885878298637,-0.5780050842681705,-0.5738142356407439
2017-03-25,255486.0,5,1,1023.5,11.2,5.3,2.0,False,False,False,False,False,True,False,False,True,False,False,0.9996598060796266,-0.44249895036496745,0.9145159023879054,-1.059913490825781,-0.6372348474134122,-0.13569038755750767,-0.40832931622440355,-0.4077619909577661,-0.40832931622440355,-0.40832931622440355,-0.40832931622440355,2.449003684688744,-0.40832931622440355,-0.5795766480018764,1.7300885878298637,-0.5780050842681705,-0.5738142356407439
2017-03-26,191164.0,6,1,1032.5,18.4,2.0,0.0,False,False,False,False,False,False,True,False,True,False,False,1.4996598350224486,-0.44249895036496745,2.0565004901835113,0.12730721438688805,-0.9798642749890004,-0.39600831505613043,-0.40832931622440355,-0.4077619909577661,-0.40832931622440355,-0.40832931622440355,-0.40832931622440355,-0.40832931622440355,2.449003684688744,-0.5795766480018764,1.7300885878298637,-0.5780050842681705,-0.5738142356407439
2017-03-27,469318.0,0,1,1021.1,13.7,3.9,12.2,True,False,False,False,False,False,False,False,True,False,False,-1.5003403386344836,-0.44249895036496745,0.6099866789757468,-0.6476840792936042,-0.7825927863848738,1.1919310426854683,2.449003684688744,-0.4077619909577661,-0.40832931622440355,-0.40832931622440355,-0.40832931622440355,-0.40832931622440355,-0.40832931622440355,-0.5795766480018764,1.7300885878298637,-0.5780050842681705,-0.5738142356407439
2017-03-28,504009.0,1,1,1016.2,10.8,3.3,18.3,False,True,False,False,False,False,False,False,True,False,False,-1.0003403096916617,-0.44249895036496745,-0.011760485490746873,-1.125870196670929,-0.8448890459440718,1.9859007215562678,-0.40832931622440355,2.452411019602794,-0.40832931622440355,-0.40832931622440355,-0.40832931622440355,-0.40832931622440355,-0.40832931622440355,-0.5795766480018764,1.7300885878298637,-0.5780050842681705,-0.5738142356407439
2017-03-29,510590.0,2,1,1016.8,21.6,4.7,1.5,False,False,True,False,False,False,False,False,True,False,False,-0.5003402807488395,-0.44249895036496745,0.06437182036228198,0.6549608611480748,-0.69953110697261,-0.20076986943216338,-0.40832931622440355,-0.4077619909577661,2.449003684688744,-0.40832931622440355,-0.40832931622440355,-0.40832931622440355,-0.40832931622440355,-0.5795766480018764,1.7300885878298637,-0.5780050842681705,-0.5738142356407439
2017-03-30,523282.0,3,1,1021.6,16.9,4.2,0.0,False,False,False,True,False,False,False,False,True,False,False,-0.0003402518060174929,-0.44249895036496745,0.6734302671866137,-0.120030432532418,-0.7514446566052749,-0.39600831505613043,-0.40832931622440355,-0.4077619909577661,-0.40832931622440355,2.449003684688744,-0.40832931622440355,-0.40832931622440355,-0.40832931622440355,-0.5795766480018764,1.7300885878298637,-0.5780050842681705,-0.5738142356407439
2017-03-31,498572.0,4,1,1020.6,20.2,2.9,22.1,False,False,False,False,True,False,False,False,True,False,False,0.49965977713680454,-0.44249895036496745,0.5465430907648797,0.42411239069005546,-0.8864198856502036,2.4805047838036507,-0.40832931622440355,-0.4077619909577661,-0.40832931622440355,-0.40832931622440355,2.449003684688744,-0.40832931622440355,-0.40832931622440355,-0.5795766480018764,1.7300885878298637,-0.5780050842681705,-0.5738142356407439
2017-04-01,216133.0,5,1,1011.7,31.7,1.8,39.6,False,False,False,False,False,True,False,False,True,False,False,0.9996598060796266,-0.44249895036496745,-0.5827527793885497,2.3203676837380685,-1.0006296948420663,4.7582866494166,-0.40832931622440355,-0.4077619909577661,-0.40832931622440355,-0.40832931622440355,-0.40832931622440355,2.449003684688744,-0.40832931622440355,-0.5795766480018764,1.7300885878298637,-0.5780050842681705,-0.5738142356407439
2017-04-02,209997.0,6,1,1016.3,15.1,4.8,0.0,False,False,False,False,False,False,True,False,True,False,False,1.4996598350224486,-0.44249895036496745,0.0009282321514149851,-0.4168356088355851,-0.6891483970460771,-0.39600831505613043,-0.40832931622440355,-0.4077619909577661,-0.40832931622440355,-0.40832931622440355,-0.40832931622440355,-0.40832931622440355,2.449003684688744,-0.5795766480018764,1.7300885878298637,-0.5780050842681705,-0.5738142356407439
2017-04-03,506584.0,0,1,1017.7,14.4,8.2,0.0,True,False,False,False,False,False,False,False,True,False,False,-1.5003403386344836,-0.44249895036496745,0.1785702791418541,-0.5322598440645945,-0.33613625954395593,-0.39600831505613043,2.449003684688744,-0.4077619909577661,-0.40832931622440355,-0.40832931622440355,-0.40832931622440355,-0.40832931622440355,-0.40832931622440355,-0.5795766480018764,1.7300885878298637,-0.5780050842681705,-0.5738142356407439
2017-04-04,496808.0,1,1,1010.1,26.6,5.3,17.3,False,True,False,False,False,False,False,False,True,False,False,-1.0003403096916617,-0.44249895036496745,-0.785772261663327,1.4794196842124283,-0.6372348474134122,1.8557417578069564,-0.40832931622440355,2.452411019602794,-0.40832931622440355,-0.40832931622440355,-0.40832931622440355,-0.40832931622440355,-0.40832931622440355,-0.5795766480018764,1.7300885878298637,-0.5780050842681705,-0.5738142356407439
