,Total_Delays,Day_of_Week,Season,Pressure,Wind_Speed,Average_Temperature,Precipitation,Is_Monday,Is_Tuesday,Is_Wednesday,Is_Thursday,Is_Friday,Is_Saturday,Is_Sunday,Is_Winter,Is_Spring,Is_Summer,Is_Autumn,S_Day_of_Week,S_Season,S_Pressure,S_Wind_Speed,S_Average_Temperature,S_Precipitation,S_Is_Monday,S_Is_Tuesday,S_Is_Wednesday,S_Is_Thursday,S_Is_Friday,S_Is_Saturday,S_Is_Sunday,S_Is_Winter,S_Is_Spring,S_Is_Summer,S_Is_Autumn
2021-12-16,159.0,3,0,1015.3,23.0,10.9,4.3,False,False,False,True,False,False,False,True,False,False,False,0.0,-1.3396892588895704,-0.09922690389609397,0.9005396843337315,-0.12160685625422832,0.172758035080894,-0.40824829046386296,-0.40824829046386296,-0.40824829046386296,2.4494897427831783,-0.40824829046386296,-0.40824829046386296,-0.40824829046386296,1.746858652414428,-0.6162572204983123,-0.6139470652834281,-0.5065362251294778
2021-12-17,215.0,4,0,1012.7,25.9,12.9,0.0,False,False,False,False,True,False,False,True,False,False,False,0.5,-1.3396892588895704,-0.4323985095404469,1.3869791546690862,0.08837424514303813,-0.39939659334445743,-0.40824829046386296,-0.40824829046386296,-0.40824829046386296,-0.40824829046386296,2.4494897427831783,-0.40824829046386296,-0.40824829046386296,1.746858652414428,-0.6162572204983123,-0.6139470652834281,-0.5065362251294778
2021-12-18,107.0,5,0,1019.5,11.5,4.8,14.2,False,False,False,False,False,True,False,True,False,False,False,1.0,-1.3396892588895704,0.43897338214480847,-1.0284444221685383,-0.762049215515891,1.490044272618331,-0.40824829046386296,-0.40824829046386296,-0.40824829046386296,-0.40824829046386296,-0.40824829046386296,2.4494897427831783,-0.40824829046386296,1.746858652414428,-0.6162572204983123,-0.6139470652834281,-0.5065362251294778
2021-12-19,65.0,6,0,1015.1,23.8,2.5,9.7,False,False,False,False,False,False,True,True,False,False,False,1.5,-1.3396892588895704,-0.12485548894565172,1.034729883046933,-1.0035274821227473,0.891277801010405,-0.40824829046386296,-0.40824829046386296,-0.40824829046386296,-0.40824829046386296,-0.40824829046386296,-0.40824829046386296,2.4494897427831783,1.746858652414428,-0.6162572204983123,-0.6139470652834281,-0.5065362251294778
2021-12-20,121.0,0,0,1025.0,14.8,-3.6,0.0,True,False,False,False,False,False,False,True,False,False,False,-1.5,-1.3396892588895704,1.1437594710078873,-0.47490985247658246,-1.6439698413844102,-0.39939659334445743,2.4494897427831783,-0.40824829046386296,-0.40824829046386296,-0.40824829046386296,-0.40824829046386296,-0.40824829046386296,-0.40824829046386296,1.746858652414428,-0.6162572204983123,-0.6139470652834281,-0.5065362251294778
2021-12-21,104.0,1,0,1017.1,14.4,1.7,0.0,False,True,False,False,False,False,False,True,False,False,False,-1.0,-1.3396892588895704,0.13143036155001334,-0.5420049518331832,-1.087519922681654,-0.39939659334445743,-0.40824829046386296,2.4494897427831783,-0.40824829046386296,-0.40824829046386296,-0.40824829046386296,-0.40824829046386296,-0.40824829046386296,1.746858652414428,-0.6162572204983123,-0.6139470652834281,-0.5065362251294778
2021-12-22,107.0,2,0,1002.8,16.2,3.9,2.3,False,False,True,False,False,False,False,True,False,False,False,-0.5,-1.3396892588895704,-1.7010134694940007,-0.24007700472848031,-0.8565407111446609,-0.09336039674485089,-0.40824829046386296,-0.40824829046386296,2.4494897427831783,-0.40824829046386296,-0.40824829046386296,-0.40824829046386296,-0.40824829046386296,1.746858652414428,-0.6162572204983123,-0.6139470652834281,-0.5065362251294778
2021-12-23,173.0,3,0,1017.1,20.9,-0.3,0.0,False,False,False,True,False,False,False,True,False,False,False,0.0,-1.3396892588895704,0.13143036155001334,0.5482904127115776,-1.2975010240789204,-0.39939659334445743,-0.40824829046386296,-0.40824829046386296,-0.40824829046386296,2.4494897427831783,-0.40824829046386296,-0.40824829046386296,-0.40824829046386296,1.746858652414428,-0.6162572204983123,-0.6139470652834281,-0.5065362251294778
2021-12-24,63.0,4,0,1019.9,6.8,-3.4,0.0,False,False,False,False,True,False,False,True,False,False,False,0.5,-1.3396892588895704,0.4902305522439386,-1.8168118396085962,-1.6229717312446834,-0.39939659334445743,-0.40824829046386296,-0.40824829046386296,-0.40824829046386296,-0.40824829046386296,2.4494897427831783,-0.40824829046386296,-0.40824829046386296,1.746858652414428,-0.6162572204983123,-0.6139470652834281,-0.5065362251294778
2021-12-25,25.0,5,0,1004.4,9.7,-0.4,8.1,False,False,False,False,False,True,False,True,False,False,False,1.0,-1.3396892588895704,-1.4959847890974656,-1.3303723692732414,-1.3080000791487838,0.6783830555498092,-0.40824829046386296,-0.40824829046386296,-0.40824829046386296,-0.40824829046386296,-0.40824829046386296,2.4494897427831783,-0.40824829046386296,1.746858652414428,-0.6162572204983123,-0.6139470652834281,-0.5065362251294778
