task,model,feature_set,candidate_index,validation_rmse,params,random_seed,error
delay,MultilayerPerceptron,target metric + day of week OHE,28,20.556537088899727,"{'hidden_layer_sizes': (87,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.002881529145438669, 'learning_rate_init': 0.07705032598654969, 'learning_rate': 'constant', 'batch_size': 'auto', 'max_iter': 50, 'early_stopping': False}",2519812580,
delay,MultilayerPerceptron,target metric + scaled day of week,30,22.436568174074292,"{'hidden_layer_sizes': (27,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.00030199575709601094, 'learning_rate_init': 0.0495655343692198, 'learning_rate': 'adaptive', 'batch_size': 'auto', 'max_iter': 50, 'early_stopping': False}",2245108574,
delay,MultilayerPerceptron,target metric + scaled day of week OHE,31,20.58769903572124,"{'hidden_layer_sizes': (40,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0009290794978217743, 'learning_rate_init': 0.022474451032794798, 'learning_rate': 'constant', 'batch_size': 'auto', 'max_iter': 50, 'early_stopping': False}",617345733,
delay,MultilayerPerceptron,target metric + season,31,27.01781613928801,"{'hidden_layer_sizes': (50, 39), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0010178413699447623, 'learning_rate_init': 0.011506732996960353, 'learning_rate': 'adaptive', 'batch_size': 'auto', 'max_iter': 50, 'early_stopping': False}",3248569169,
delay,MultilayerPerceptron,target metric + season OHE,6,28.925415798297905,"{'hidden_layer_sizes': (41,), 'activation': 'relu', 'solver': 'adam', 'alpha': 5.566323875634735e-05, 'learning_rate_init': 0.005974566380582296, 'learning_rate': 'constant', 'batch_size': 'auto', 'max_iter': 50, 'early_stopping': False}",887538048,
delay,MultilayerPerceptron,target metric + scaled season,19,27.81570830406243,"{'hidden_layer_sizes': (24, 21), 'activation': 'relu', 'solver': 'adam', 'alpha': 2.446970623786467e-05, 'learning_rate_init': 0.0020708274588704676, 'learning_rate': 'adaptive', 'batch_size': 'auto', 'max_iter': 50, 'early_stopping': False}",3025969399,
delay,MultilayerPerceptron,target metric + scaled season OHE,13,27.604375745953504,"{'hidden_layer_sizes': (16, 20), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.005896941031066341, 'learning_rate_init': 0.01582220991877367, 'learning_rate': 'constant', 'batch_size': 'auto', 'max_iter': 50, 'early_stopping': False}",1330174846,
delay,MultilayerPerceptron,target metric + weather,10,34.7212942267256,"{'hidden_layer_sizes': (56,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0004211365846689433, 'learning_rate_init': 0.013102095724912352, 'learning_rate': 'adaptive', 'batch_size': 'auto', 'max_iter': 50, 'early_stopping': False}",2862566161,
delay,MultilayerPerceptron,target metric + scaled weather,29,29.499269624884498,"{'hidden_layer_sizes': (64,), 'activation': 'relu', 'solver': 'adam', 'alpha': 2.0135413351947896e-06, 'learning_rate_init': 0.0032600015883888344, 'learning_rate': 'constant', 'batch_size': 'auto', 'max_iter': 50, 'early_stopping': False}",1231770135,
delay,MultilayerPerceptron,target metric + day of week + season,15,22.42900093826191,"{'hidden_layer_sizes': (67,), 'activation': 'relu', 'solver': 'adam', 'alpha': 1.877439274376533e-05, 'learning_rate_init': 0.013949120036634698, 'learning_rate': 'adaptive', 'batch_size': 'auto', 'max_iter': 50, 'early_stopping': False}",4160182096,
