,Model,Data,RMSE
219,MultilayerPerceptron,Day of Week Data Improvement,14.311050586413216
220,MultilayerPerceptron,Season Data Improvement,21.19691889560002
221,MultilayerPerceptron,Weather Data Improvement,18.103548281974383
222,kNearestNeighbor,No Additional Data,35647.42459046013
223,kNearestNeighbor,Best Added-Feature Set,35075.70327340021
224,kNearestNeighbor,Best Added-Feature Set Improvement,1.6038222217403018
225,kNearestNeighbor,Day of Week Data Improvement,1.5264015461384162
226,kNearestNeighbor,Season Data Improvement,0.6928365485632071
227,kNearestNeighbor,Weather Data Improvement,1.099346166110081
228,MovingAverage,No Additional Data,67758.18403537669
229,MovingAverage,Best Added-Feature Set,67758.18403537669
230,MovingAverage,Best Added-Feature Set Improvement,0.0
231,MovingAverage,Day of Week Data Improvement,0.0
232,MovingAverage,Season Data Improvement,0.0
233,MovingAverage,Weather Data Improvement,0.0
234,Poisson,No Additional Data,115455.43193871516
235,Poisson,Best Added-Feature Set,115455.43193871516
236,Poisson,Best Added-Feature Set Improvement,0.0
237,Poisson,Day of Week Data Improvement,0.0
238,Poisson,Season Data Improvement,0.0
239,Poisson,Weather Data Improvement,0.0
240,RandomForest,No Additional Data,36467.29552288726
241,RandomForest,Best Added-Feature Set,24579.793702301104
242,RandomForest,Best Added-Feature Set Improvement,32.597706109369796
243,RandomForest,Day of Week Data Improvement,30.13522648337944
244,RandomForest,Season Data Improvement,-2.096702207234742
245,RandomForest,Weather Data Improvement,-4.910462947115448
246,Linear,No Additional Data,52182.601149017675
247,Linear,Best Added-Feature Set,51099.37145089693
248,Linear,Best Added-Feature Set Improvement,2.075844580892735
249,Linear,Day of Week Data Improvement,2.075844580892735
250,Linear,Season Data Improvement,-0.4241640175784056
251,Linear,Weather Data Improvement,-3.104162699533461
252,Ridge,No Additional Data,52182.60114901767
253,Ridge,Best Added-Feature Set,31820.400000749356
254,Ridge,Best Added-Feature Set Improvement,39.02105433594628
255,Ridge,Day of Week Data Improvement,39.01486133909564
256,Ridge,Season Data Improvement,-0.11728396609463232
257,Ridge,Weather Data Improvement,-0.7991253412208579
258,Lasso,No Additional Data,52182.60114901779
259,Lasso,Best Added-Feature Set,32933.69990898169
260,Lasso,Best Added-Feature Set Improvement,36.88758478150032
261,Lasso,Day of Week Data Improvement,36.88758478150032
262,Lasso,Season Data Improvement,-0.2615789635174366
263,Lasso,Weather Data Improvement,-1.8674526390080928
264,GradientBoost,No Additional Data,37107.2390140313
265,GradientBoost,Best Added-Feature Set,26705.84053617993
266,GradientBoost,Best Added-Feature Set Improvement,28.03064510921523
267,GradientBoost,Day of Week Data Improvement,22.388107588671858
268,GradientBoost,Season Data Improvement,-0.03949699932783801
269,GradientBoost,Weather Data Improvement,-17.17067113082757
270,SupportVector,No Additional Data,61477.61511762117
271,SupportVector,Best Added-Feature Set,59974.590178930885
272,SupportVector,Best Added-Feature Set Improvement,2.444832864473753
273,SupportVector,Day of Week Data Improvement,0.005769841072634563
274,SupportVector,Season Data Improvement,0.00020110349313995357
275,SupportVector,Weather Data Improvement,2.4437696658523436
276,MultilayerPerceptron,No Additional Data,43067.52248414326
277,MultilayerPerceptron,Best Added-Feature Set,35042.869201066416
278,MultilayerPerceptron,Best Added-Feature Set Improvement,18.632725590452495
279,MultilayerPerceptron,Day of Week Data Improvement,18.14923007470405
280,MultilayerPerceptron,Season Data Improvement,13.738898335652124
281,MultilayerPerceptron,Weather Data Improvement,12.350331344067925
282,kNearestNeighbor,No Additional Data,34798.73867867998
283,kNearestNeighbor,Best Added-Feature Set,33970.934008243676
284,kNearestNeighbor,Best Added-Feature Set Improvement,2.378835273542478
285,kNearestNeighbor,Day of Week Data Improvement,0.5389267342975756
286,kNearestNeighbor,Season Data Improvement,2.378835273542478
287,kNearestNeighbor,Weather Data Improvement,0.9942291222053683
288,MovingAverage,No Additional Data,68203.8974554763
289,MovingAverage,Best Added-Feature Set,68203.8974554763
290,MovingAverage,Best Added-Feature Set Improvement,0.0
291,MovingAverage,Day of Week Data Improvement,0.0
292,MovingAverage,Season Data Improvement,0.0
293,MovingAverage,Weather Data Improvement,0.0
294,Poisson,No Additional Data,117964.00072103234
295,Poisson,Best Added-Feature Set,117964.00072103234
296,Poisson,Best Added-Feature Set Improvement,0.0
297,Poisson,Day of Week Data Improvement,0.0
298,Poisson,Season Data Improvement,0.0
299,Poisson,Weather Data Improvement,0.0
300,RandomForest,No Additional Data,33038.25912785471
301,RandomForest,Best Added-Feature Set,26555.483617897946
302,RandomForest,Best Added-Feature Set Improvement,19.62202513416061
303,RandomForest,Day of Week Data Improvement,18.9342283259989
304,RandomForest,Season Data Improvement,0.22753363355910494
305,RandomForest,Weather Data Improvement,-4.316350538266775
306,Linear,No Additional Data,48573.5025196554
307,Linear,Best Added-Feature Set,48573.5025196554
308,Linear,Best Added-Feature Set Improvement,0.0
309,Linear,Day of Week Data Improvement,-2.0818359331859426
310,Linear,Season Data Improvement,-0.4014890521971921
311,Linear,Weather Data Improvement,-6.549541804724441
312,Ridge,No Additional Data,48573.50251965532
313,Ridge,Best Added-Feature Set,32708.835100930435
314,Ridge,Best Added-Feature Set Improvement,32.66115597141719
315,Ridge,Day of Week Data Improvement,32.66115597141719
316,Ridge,Season Data Improvement,-0.04971342280276758
