,Model,Data,RMSE
276,MultilayerPerceptron,No Additional Data,39.14284016266906
277,MultilayerPerceptron,Any Data,31.56517040082209
278,MultilayerPerceptron,Any Data Improvement,19.359018738435523
279,MultilayerPerceptron,Day of Week Data Improvement,18.314646722907895
280,MultilayerPerceptron,Season Data Improvement,0.33511909127774686
281,MultilayerPerceptron,Weather Data Improvement,-5.303157510726109
282,kNearestNeighbor,No Additional Data,46.49201258326588
283,kNearestNeighbor,Any Data,46.360061681893136
284,kNearestNeighbor,Any Data Improvement,0.2838141307314288
285,kNearestNeighbor,Day of Week Data Improvement,0.23105545696822105
286,kNearestNeighbor,Season Data Improvement,-0.00519155940536109
287,kNearestNeighbor,Weather Data Improvement,-0.17010408053189963
288,MovingAverage,No Additional Data,55.883769957661684
289,MovingAverage,Any Data,55.883769957661684
290,MovingAverage,Any Data Improvement,1.4210854715202004e-14
291,MovingAverage,Day of Week Data Improvement,1.4210854715202004e-14
292,MovingAverage,Season Data Improvement,1.4210854715202004e-14
293,MovingAverage,Weather Data Improvement,1.4210854715202004e-14
294,Poisson,No Additional Data,47.81555616976578
295,Poisson,Any Data,35.81661260072371
296,Poisson,Any Data Improvement,25.094225666727922
297,Poisson,Day of Week Data Improvement,25.094225666727922
298,Poisson,Season Data Improvement,-0.20759660574763927
299,Poisson,Weather Data Improvement,-5.024611807186403
300,RandomForest,No Additional Data,39.65114501388143
301,RandomForest,Any Data,35.2612215211143
302,RandomForest,Any Data Improvement,11.07136626503538
303,RandomForest,Day of Week Data Improvement,6.688594449372047
304,RandomForest,Season Data Improvement,0.4491499077725791
305,RandomForest,Weather Data Improvement,-4.051814844999484
306,Linear,No Additional Data,46.26668895573731
307,Linear,Any Data,33.61086540497434
308,Linear,Any Data Improvement,27.35407230647219
309,Linear,Day of Week Data Improvement,25.60979409212824
310,Linear,Season Data Improvement,0.39470835026097006
311,Linear,Weather Data Improvement,1.8461366059296438
312,Ridge,No Additional Data,46.26669216236172
313,Ridge,Any Data,33.61667316407746
314,Ridge,Any Data Improvement,27.34152455483978
315,Ridge,Day of Week Data Improvement,25.60821688227506
316,Ridge,Season Data Improvement,0.34642388972308424
317,Ridge,Weather Data Improvement,1.8459201087918728
318,Lasso,No Additional Data,46.27786304599598
319,Lasso,Any Data,34.98915932286088
320,Lasso,Any Data Improvement,24.393312439503006
321,Lasso,Day of Week Data Improvement,24.31894771939058
322,Lasso,Season Data Improvement,0.002835998335143586
323,Lasso,Weather Data Improvement,1.4519828917834303
324,GradientBoost,No Additional Data,39.947645998922674
325,GradientBoost,Any Data,34.096565001311376
326,GradientBoost,Any Data Improvement,14.646873054219753
327,GradientBoost,Day of Week Data Improvement,14.012056041116608
328,GradientBoost,Season Data Improvement,-0.5014375325731635
329,GradientBoost,Weather Data Improvement,-4.976778661908014
330,SupportVector,No Additional Data,45.55147615954478
331,SupportVector,Any Data,45.55147615954478
332,SupportVector,Any Data Improvement,1.4210854715202004e-14
333,SupportVector,Day of Week Data Improvement,-3.8081362705453614
334,SupportVector,Season Data Improvement,-3.9603745864562256
335,SupportVector,Weather Data Improvement,-5.305166870375444
336,MultilayerPerceptron,No Additional Data,40.105628018717525
337,MultilayerPerceptron,Any Data,31.790089399258626
338,MultilayerPerceptron,Any Data Improvement,20.734094016874607
339,MultilayerPerceptron,Day of Week Data Improvement,15.314516525723633
340,MultilayerPerceptron,Season Data Improvement,-1.755643420943784
341,MultilayerPerceptron,Weather Data Improvement,-0.6501916787583326
342,kNearestNeighbor,No Additional Data,44.5379343794051
343,kNearestNeighbor,Any Data,44.07423966245712
344,kNearestNeighbor,Any Data Improvement,1.0411230862165866
345,kNearestNeighbor,Day of Week Data Improvement,0.8523399860948757
346,kNearestNeighbor,Season Data Improvement,0.4457836924710534
347,kNearestNeighbor,Weather Data Improvement,0.13285596774741748
348,MovingAverage,No Additional Data,57.62886709096796
