task,model,feature_set,candidate_index,validation_rmse,params,random_seed,error,selected
gse,kNearestNeighbor,target metric + day of week OHE + season OHE + weather,11,46549.05593834087,"{'n_neighbors': 54, 'weights': 'distance', 'p': 1}",2451458398,,False
gse,kNearestNeighbor,target metric + day of week OHE + season OHE + weather,12,49028.00500842656,"{'n_neighbors': 66, 'weights': 'distance', 'p': 2}",3908776468,,False
gse,kNearestNeighbor,target metric + day of week OHE + season OHE + weather,13,36500.72094613702,"{'n_neighbors': 7, 'weights': 'distance', 'p': 2}",3353044571,,False
gse,kNearestNeighbor,target metric + day of week OHE + season OHE + weather,14,37332.59005306464,"{'n_neighbors': 4, 'weights': 'uniform', 'p': 2}",2962215671,,False
gse,kNearestNeighbor,target metric + day of week OHE + season OHE + weather,15,36824.06511724128,"{'n_neighbors': 8, 'weights': 'distance', 'p': 1}",1414635908,,False
gse,kNearestNeighbor,target metric + day of week OHE + season OHE + weather,16,46779.87965602655,"{'n_neighbors': 34, 'weights': 'uniform', 'p': 1}",3326763149,,False
gse,kNearestNeighbor,target metric + day of week OHE + season OHE + weather,17,43268.648496355934,"{'n_neighbors': 1, 'weights': 'uniform', 'p': 2}",3375563036,,False
gse,kNearestNeighbor,target metric + day of week OHE + season OHE + weather,18,51165.00111698086,"{'n_neighbors': 51, 'weights': 'uniform', 'p': 2}",3317952671,,False
gse,kNearestNeighbor,target metric + day of week OHE + season OHE + weather,19,36449.60620890546,"{'n_neighbors': 8, 'weights': 'distance', 'p': 2}",3539127120,,True
gse,kNearestNeighbor,target metric + day of week OHE + season OHE + weather,20,42798.97558315186,"{'n_neighbors': 33, 'weights': 'distance', 'p': 2}",2031304950,,False
gse,kNearestNeighbor,target metric + day of week OHE + season OHE + weather,21,38885.56716488662,"{'n_neighbors': 2, 'weights': 'distance', 'p': 2}",3763542922,,False
gse,kNearestNeighbor,target metric + day of week OHE + season OHE + weather,22,39339.33454858148,"{'n_neighbors': 20, 'weights': 'distance', 'p': 2}",3216505006,,False
gse,kNearestNeighbor,target metric + day of week OHE + season OHE + weather,23,50966.970510146326,"{'n_neighbors': 50, 'weights': 'uniform', 'p': 2}",2836609235,,False
gse,kNearestNeighbor,target metric + day of week OHE + season OHE + weather,24,53309.53781962364,"{'n_neighbors': 94, 'weights': 'distance', 'p': 1}",2093298695,,False
gse,kNearestNeighbor,target metric + day of week OHE + season OHE + weather,25,37039.211900802744,"{'n_neighbors': 8, 'weights': 'uniform', 'p': 1}",3530654123,,False
gse,kNearestNeighbor,target metric + day of week OHE + season OHE + weather,26,52121.16678060788,"{'n_neighbors': 85, 'weights': 'distance', 'p': 2}",2599114604,,False
gse,kNearestNeighbor,target metric + day of week OHE + season OHE + weather,27,42907.53684252783,"{'n_neighbors': 23, 'weights': 'uniform', 'p': 2}",783795940,,False
gse,kNearestNeighbor,target metric + day of week OHE + season OHE + weather,28,37948.09430308038,"{'n_neighbors': 3, 'weights': 'distance', 'p': 2}",2137805250,,False
gse,kNearestNeighbor,target metric + day of week OHE + season OHE + weather,29,46067.360413608694,"{'n_neighbors': 31, 'weights': 'uniform', 'p': 2}",2260093814,,False
gse,kNearestNeighbor,target metric + day of week OHE + season OHE + weather,30,45254.76024307091,"{'n_neighbors': 1, 'weights': 'uniform', 'p': 1}",2152142992,,False
gse,kNearestNeighbor,target metric + day of week OHE + season OHE + weather,31,45128.1409075615,"{'n_neighbors': 29, 'weights': 'uniform', 'p': 1}",2443130861,,False
gse,kNearestNeighbor,target metric + scaled day of week + scaled season + scaled weather,0,60013.25144048051,"{'n_neighbors': 97, 'weights': 'uniform', 'p': 1}",3911121655,,False
gse,kNearestNeighbor,target metric + scaled day of week + scaled season + scaled weather,1,39618.4275862233,"{'n_neighbors': 2, 'weights': 'uniform', 'p': 1}",525499468,,False
gse,kNearestNeighbor,target metric + scaled day of week + scaled season + scaled weather,2,52785.11707706488,"{'n_neighbors': 90, 'weights': 'distance', 'p': 1}",4103360567,,False
gse,kNearestNeighbor,target metric + scaled day of week + scaled season + scaled weather,3,43201.223973798486,"{'n_neighbors': 35, 'weights': 'distance', 'p': 2}",64662344,,False
gse,kNearestNeighbor,target metric + scaled day of week + scaled season + scaled weather,4,46821.46896523761,"{'n_neighbors': 34, 'weights': 'uniform', 'p': 2}",431934559,,False
gse,kNearestNeighbor,target metric + scaled day of week + scaled season + scaled weather,5,38626.80951625066,"{'n_neighbors': 15, 'weights': 'uniform', 'p': 1}",4141453779,,False
gse,kNearestNeighbor,target metric + scaled day of week + scaled season + scaled weather,6,40092.20975865115,"{'n_neighbors': 18, 'weights': 'uniform', 'p': 1}",2727227237,,False
gse,kNearestNeighbor,target metric + scaled day of week + scaled season + scaled weather,7,52264.998481133414,"{'n_neighbors': 86, 'weights': 'distance', 'p': 2}",1741894892,,False
gse,kNearestNeighbor,target metric + scaled day of week + scaled season + scaled weather,8,52094.174576528414,"{'n_neighbors': 85, 'weights': 'distance', 'p': 1}",1915668109,,False
gse,kNearestNeighbor,target metric + scaled day of week + scaled season + scaled weather,9,45228.05254245569,"{'n_neighbors': 1, 'weights': 'uniform', 'p': 1}",3426539333,,False
gse,kNearestNeighbor,target metric + scaled day of week + scaled season + scaled weather,10,38411.7659412547,"{'n_neighbors': 3, 'weights': 'distance', 'p': 1}",3025434270,,False
gse,kNearestNeighbor,target metric + scaled day of week + scaled season + scaled weather,11,49444.663207336496,"{'n_neighbors': 45, 'weights': 'uniform', 'p': 1}",46853941,,False
gse,kNearestNeighbor,target metric + scaled day of week + scaled season + scaled weather,12,51112.58175954551,"{'n_neighbors': 54, 'weights': 'uniform', 'p': 1}",1037597749,,False
gse,kNearestNeighbor,target metric + scaled day of week + scaled season + scaled weather,13,43268.648496355934,"{'n_neighbors': 1, 'weights': 'uniform', 'p': 2}",3818312185,,False
gse,kNearestNeighbor,target metric + scaled day of week + scaled season + scaled weather,14,37013.03972106529,"{'n_neighbors': 5, 'weights': 'uniform', 'p': 2}",2390088346,,False
gse,kNearestNeighbor,target metric + scaled day of week + scaled season + scaled weather,15,37251.22249794651,"{'n_neighbors': 11, 'weights': 'uniform', 'p': 2}",3474082753,,False
gse,kNearestNeighbor,target metric + scaled day of week + scaled season + scaled weather,16,37087.71281955638,"{'n_neighbors': 7, 'weights': 'uniform', 'p': 1}",1970471903,,False
gse,kNearestNeighbor,target metric + scaled day of week + scaled season + scaled weather,17,51563.23549215605,"{'n_neighbors': 53, 'weights': 'uniform', 'p': 2}",2614397390,,False
gse,kNearestNeighbor,target metric + scaled day of week + scaled season + scaled weather,18,45228.05254245569,"{'n_neighbors': 1, 'weights': 'uniform', 'p': 1}",1639017792,,False
gse,kNearestNeighbor,target metric + scaled day of week + scaled season + scaled weather,19,45970.798839522715,"{'n_neighbors': 31, 'weights': 'uniform', 'p': 1}",84165596,,False
gse,kNearestNeighbor,target metric + scaled day of week + scaled season + scaled weather,20,39718.28588461941,"{'n_neighbors': 2, 'weights': 'distance', 'p': 1}",2733429828,,False
gse,kNearestNeighbor,target metric + scaled day of week + scaled season + scaled weather,21,47607.05129428997,"{'n_neighbors': 59, 'weights': 'distance', 'p': 1}",2446838100,,False
gse,kNearestNeighbor,target metric + scaled day of week + scaled season + scaled weather,22,41867.162665489224,"{'n_neighbors': 29, 'weights': 'distance', 'p': 2}",3139025586,,False
gse,kNearestNeighbor,target metric + scaled day of week + scaled season + scaled weather,23,47127.884735693005,"{'n_neighbors': 35, 'weights': 'uniform', 'p': 2}",1408855590,,False
gse,kNearestNeighbor,target metric + scaled day of week + scaled season + scaled weather,24,38757.05555498579,"{'n_neighbors': 18, 'weights': 'distance', 'p': 1}",1545395551,,False
gse,kNearestNeighbor,target metric + scaled day of week + scaled season + scaled weather,25,44525.071629690814,"{'n_neighbors': 41, 'weights': 'distance', 'p': 1}",2870361882,,False
gse,kNearestNeighbor,target metric + scaled day of week + scaled season + scaled weather,26,48406.10639204876,"{'n_neighbors': 40, 'weights': 'uniform', 'p': 1}",1509281125,,False
gse,kNearestNeighbor,target metric + scaled day of week + scaled season + scaled weather,27,47442.26138226958,"{'n_neighbors': 58, 'weights': 'distance', 'p': 1}",3822042855,,False
gse,kNearestNeighbor,target metric + scaled day of week + scaled season + scaled weather,28,37001.08388805554,"{'n_neighbors': 13, 'weights': 'distance', 'p': 2}",789952603,,False
gse,kNearestNeighbor,target metric + scaled day of week + scaled season + scaled weather,29,37039.211900802744,"{'n_neighbors': 8, 'weights': 'uniform', 'p': 1}",3114594344,,False
gse,kNearestNeighbor,target metric + scaled day of week + scaled season + scaled weather,30,36900.577792588934,"{'n_neighbors': 6, 'weights': 'uniform', 'p': 2}",314381878,,False
gse,kNearestNeighbor,target metric + scaled day of week + scaled season + scaled weather,31,36655.44835854419,"{'n_neighbors': 10, 'weights': 'distance', 'p': 2}",951037381,,True
gse,kNearestNeighbor,target metric + scaled day of week OHE + scaled season OHE + scaled weather,0,45130.835136805086,"{'n_neighbors': 29, 'weights': 'uniform', 'p': 1}",1102740831,,False
gse,kNearestNeighbor,target metric + scaled day of week OHE + scaled season OHE + scaled weather,1,38885.56847233796,"{'n_neighbors': 2, 'weights': 'distance', 'p': 2}",1651565245,,False
gse,kNearestNeighbor,target metric + scaled day of week OHE + scaled season OHE + scaled weather,2,38885.56847233796,"{'n_neighbors': 2, 'weights': 'distance', 'p': 2}",3460303532,,False
gse,kNearestNeighbor,target metric + scaled day of week OHE + scaled season OHE + scaled weather,3,38234.54479891825,"{'n_neighbors': 17, 'weights': 'distance', 'p': 2}",1227739161,,False
gse,kNearestNeighbor,target metric + scaled day of week OHE + scaled season OHE + scaled weather,4,38452.522370385275,"{'n_neighbors': 3, 'weights': 'uniform', 'p': 1}",4132038926,,False
gse,kNearestNeighbor,target metric + scaled day of week OHE + scaled season OHE + scaled weather,5,37087.71281955638,"{'n_neighbors': 7, 'weights': 'uniform', 'p': 1}",303264048,,False
gse,kNearestNeighbor,target metric + scaled day of week OHE + scaled season OHE + scaled weather,6,37885.4223808426,"{'n_neighbors': 4, 'weights': 'uniform', 'p': 1}",123544317,,False
gse,kNearestNeighbor,target metric + scaled day of week OHE + scaled season OHE + scaled weather,7,37013.03972106529,"{'n_neighbors': 5, 'weights': 'uniform', 'p': 2}",4230281963,,False
gse,kNearestNeighbor,target metric + scaled day of week OHE + scaled season OHE + scaled weather,8,41714.93867640692,"{'n_neighbors': 21, 'weights': 'uniform', 'p': 2}",385139414,,False
gse,kNearestNeighbor,target metric + scaled day of week OHE + scaled season OHE + scaled weather,9,43268.648496355934,"{'n_neighbors': 1, 'weights': 'uniform', 'p': 2}",3808010264,,False
gse,kNearestNeighbor,target metric + scaled day of week OHE + scaled season OHE + scaled weather,10,48566.03909631831,"{'n_neighbors': 40, 'weights': 'uniform', 'p': 2}",451000654,,False
gse,kNearestNeighbor,target metric + scaled day of week OHE + scaled season OHE + scaled weather,11,37756.6400710835,"{'n_neighbors': 4, 'weights': 'distance', 'p': 1}",3453792072,,False
gse,kNearestNeighbor,target metric + scaled day of week OHE + scaled season OHE + scaled weather,12,38410.99118193324,"{'n_neighbors': 3, 'weights': 'distance', 'p': 1}",2826332929,,False
gse,kNearestNeighbor,target metric + scaled day of week OHE + scaled season OHE + scaled weather,13,43268.648496355934,"{'n_neighbors': 1, 'weights': 'distance', 'p': 2}",1162144932,,False
gse,kNearestNeighbor,target metric + scaled day of week OHE + scaled season OHE + scaled weather,14,37714.682845527765,"{'n_neighbors': 13, 'weights': 'uniform', 'p': 1}",1359030608,,False
gse,kNearestNeighbor,target metric + scaled day of week OHE + scaled season OHE + scaled weather,15,38452.522370385275,"{'n_neighbors': 3, 'weights': 'uniform', 'p': 1}",3973343609,,False
gse,kNearestNeighbor,target metric + scaled day of week OHE + scaled season OHE + scaled weather,16,44056.496499548855,"{'n_neighbors': 39, 'weights': 'distance', 'p': 2}",3822127737,,False
gse,kNearestNeighbor,target metric + scaled day of week OHE + scaled season OHE + scaled weather,17,38452.522370385275,"{'n_neighbors': 3, 'weights': 'uniform', 'p': 1}",1810796244,,False
gse,kNearestNeighbor,target metric + scaled day of week OHE + scaled season OHE + scaled weather,18,45228.05254245569,"{'n_neighbors': 1, 'weights': 'uniform', 'p': 1}",824044973,,False
gse,kNearestNeighbor,target metric + scaled day of week OHE + scaled season OHE + scaled weather,19,49741.7603998285,"{'n_neighbors': 70, 'weights': 'distance', 'p': 1}",1429915468,,False
gse,kNearestNeighbor,target metric + scaled day of week OHE + scaled season OHE + scaled weather,20,39618.4275862233,"{'n_neighbors': 2, 'weights': 'uniform', 'p': 1}",958352341,,False
gse,kNearestNeighbor,target metric + scaled day of week OHE + scaled season OHE + scaled weather,21,44316.0999273415,"{'n_neighbors': 40, 'weights': 'distance', 'p': 1}",1904482207,,False
gse,kNearestNeighbor,target metric + scaled day of week OHE + scaled season OHE + scaled weather,22,37013.03972106529,"{'n_neighbors': 5, 'weights': 'uniform', 'p': 2}",206801981,,False
gse,kNearestNeighbor,target metric + scaled day of week OHE + scaled season OHE + scaled weather,23,37140.68399987984,"{'n_neighbors': 5, 'weights': 'distance', 'p': 1}",3265069992,,False
gse,kNearestNeighbor,target metric + scaled day of week OHE + scaled season OHE + scaled weather,24,36817.5429483273,"{'n_neighbors': 6, 'weights': 'distance', 'p': 1}",4087919539,,False
gse,kNearestNeighbor,target metric + scaled day of week OHE + scaled season OHE + scaled weather,25,37210.686189009786,"{'n_neighbors': 5, 'weights': 'uniform', 'p': 1}",19984671,,False
gse,kNearestNeighbor,target metric + scaled day of week OHE + scaled season OHE + scaled weather,26,37940.4672524664,"{'n_neighbors': 3, 'weights': 'uniform', 'p': 2}",4109570198,,False
gse,kNearestNeighbor,target metric + scaled day of week OHE + scaled season OHE + scaled weather,27,36449.606216372056,"{'n_neighbors': 8, 'weights': 'distance', 'p': 2}",3709519340,,True
gse,kNearestNeighbor,target metric + scaled day of week OHE + scaled season OHE + scaled weather,28,45228.05254245569,"{'n_neighbors': 1, 'weights': 'uniform', 'p': 1}",2281907477,,False
gse,kNearestNeighbor,target metric + scaled day of week OHE + scaled season OHE + scaled weather,29,37940.4672524664,"{'n_neighbors': 3, 'weights': 'uniform', 'p': 2}",1919191849,,False
gse,kNearestNeighbor,target metric + scaled day of week OHE + scaled season OHE + scaled weather,30,39717.66445554657,"{'n_neighbors': 2, 'weights': 'distance', 'p': 1}",1773873551,,False
gse,kNearestNeighbor,target metric + scaled day of week OHE + scaled season OHE + scaled weather,31,38452.522370385275,"{'n_neighbors': 3, 'weights': 'uniform', 'p': 1}",2404318013,,False
gse,kNearestNeighbor,target metric + day of week,0,42164.80165636634,"{'n_neighbors': 30, 'weights': 'distance', 'p': 2}",1209858734,,False
gse,kNearestNeighbor,target metric + day of week,1,49393.203600600835,"{'n_neighbors': 43, 'weights': 'uniform', 'p': 2}",2981451946,,False
gse,kNearestNeighbor,target metric + day of week,2,45970.798839522715,"{'n_neighbors': 31, 'weights': 'uniform', 'p': 1}",2538220027,,False
gse,kNearestNeighbor,target metric + day of week,3,36830.45327737767,"{'n_neighbors': 8, 'weights': 'distance', 'p': 1}",574076128,,False
gse,kNearestNeighbor,target metric + day of week,4,41742.03495792989,"{'n_neighbors': 21, 'weights': 'uniform', 'p': 1}",415704572,,False
gse,kNearestNeighbor,target metric + day of week,5,43268.648496355934,"{'n_neighbors': 1, 'weights': 'distance', 'p': 2}",373402021,,False
gse,kNearestNeighbor,target metric + day of week,6,38626.80951625066,"{'n_neighbors': 15, 'weights': 'uniform', 'p': 1}",4214671404,,False
gse,kNearestNeighbor,target metric + day of week,7,38452.522370385275,"{'n_neighbors': 3, 'weights': 'uniform', 'p': 1}",2902608056,,False
gse,kNearestNeighbor,target metric + day of week,8,41215.5752079616,"{'n_neighbors': 20, 'weights': 'uniform', 'p': 2}",3497437305,,False
gse,kNearestNeighbor,target metric + day of week,9,36847.21610330531,"{'n_neighbors': 5, 'weights': 'distance', 'p': 2}",4085602677,,False
gse,kNearestNeighbor,target metric + day of week,10,46024.22535014897,"{'n_neighbors': 50, 'weights': 'distance', 'p': 1}",392963039,,False
gse,kNearestNeighbor,target metric + day of week,11,43154.10893240927,"{'n_neighbors': 34, 'weights': 'distance', 'p': 1}",315833637,,False
gse,kNearestNeighbor,target metric + day of week,12,36876.34281013938,"{'n_neighbors': 12, 'weights': 'distance', 'p': 2}",2505286895,,False
gse,kNearestNeighbor,target metric + day of week,13,37225.64660927143,"{'n_neighbors': 5, 'weights': 'uniform', 'p': 1}",3206062056,,False
gse,kNearestNeighbor,target metric + day of week,14,37001.08388773908,"{'n_neighbors': 13, 'weights': 'distance', 'p': 2}",1677160317,,False
gse,kNearestNeighbor,target metric + day of week,15,37153.87873048673,"{'n_neighbors': 5, 'weights': 'distance', 'p': 1}",590115641,,False
